Texte;Label enrichi;Norme / Référence
L’accès root est interdit sauf procédure d’urgence.;Conforme – Gouvernance critique;ISO 27001 A.9.2.3
Les sessions SSH sont monitorées en continu.;Conforme – Supervision;ISO 27001 A.12.4.1
Les comptes dormants déclenchent une alerte automatique.;Conforme – Détection proactive;ISO 27001 A.9.2.6
Chaque employé signe une charte de gestion des accès.;Conforme – Gouvernance organisationnelle;ISO 27001 A.7.2.2
Les accès critiques sont soumis à une rotation mensuelle des mots de passe.;Conforme – Sécurité renforcée;ISO 27001 A.9.4.3
L’équipe sécurité valide toute élévation de privilège.;Conforme – Gouvernance stricte;ISO 27001 A.9.2.1
Les droits sont systématiquement alignés avec le rôle métier.;Conforme – Principe du moindre privilège;ISO 27001 A.9.1.2
Aucun processus formalisé de revue des droits n’est en place.;Non conforme – Absence de contrôle;ISO 27001 A.9.2.5 / SOX 404
Les droits d’accès ne sont pas revus depuis plus de deux ans.;Non conforme – Gouvernance défaillante;ISO 27001 A.9.2.5
Les comptes génériques sont utilisés par plusieurs utilisateurs sans suivi.;Non conforme – Absence de responsabilité;ISO 27001 A.9.2.3 / NIST AC-2
Les sessions restent actives indéfiniment sans déconnexion automatique.;Non conforme – Risque de session persistante;ISO 27001 A.9.4.2
Les mots de passe sont stockés en clair dans les bases de données.;Non conforme – Failles majeures;ISO 27001 A.10.1 / NIST IA-5
Aucun mécanisme n’existe pour désactiver les comptes inactifs.;Non conforme – Risque de compromission;ISO 27001 A.9.2.6 / NIST AC-2 h
Les accès administrateurs sont partagés entre plusieurs personnes.;Non conforme – Absence de responsabilité;ISO 27001 A.9.2.3
Les utilisateurs conservent leurs droits après avoir changé de poste.;Non conforme – Gouvernance déficiente;ISO 27001 A.9.2.6
Aucun contrôle n’existe sur l’utilisation des clés API.;Non conforme – Risque de fuite;NIST IA-5 f
Les comptes orphelins restent actifs plusieurs mois après le départ.;Non conforme – Risque d’accès non autorisé;ISO 27001 A.9.2.6
Les accès VPN ne requièrent pas d’authentification forte.;Non conforme – Contrôle absent;ISO 27001 A.9.4.2
Les prestataires conservent leurs accès après la fin de mission.;Non conforme – Gouvernance tiers défaillante;ISO 27001 A.9.2.6 / NIST AC-2 g
Aucune revue des groupes Active Directory n’est effectuée.;Non conforme – Risque de privilèges excessifs;ISO 27001 A.9.2.5
Les demandes d’accès sont validées oralement sans justification écrite.;Non conforme – Absence de traçabilité;SOX 404 / ISO 27001 A.9.2.1
Les tokens OAuth sont créés sans date d’expiration.;Non conforme – Risque critique;NIST IA-5
Les utilisateurs rejoignent des groupes AD sans validation.;Non conforme – Absence de gouvernance;ISO 27001 A.9.2.1
Les comptes de service permettent des connexions interactives.;Non conforme – Risque majeur;ISO 27001 A.9.2.3
Aucun suivi des accès SaaS n’est réalisé.;Non conforme – Gouvernance cloud défaillante;ISO 27001 A.9.2.6
Les preuves d’approbation d’accès ne sont pas conservées.;Non conforme – Absence de conformité réglementaire;SOX 404
Les mots de passe ne sont pas renouvelés et restent permanents.;Non conforme – Absence de politique;ISO 27001 A.9.4.3
Les clés SSH sont partagées entre plusieurs équipes.;Non conforme – Absence de responsabilité;NIST IA-5
Les logs d’accès ne sont ni collectés ni conservés.;Non conforme – Absence de journalisation;ISO 27001 A.12.4.1
Les comptes invités restent actifs sans limite de durée.;Non conforme – Risque d’accès non autorisé;ISO 27001 A.9.2.6
Aucun processus d’urgence n’encadre les accès temporaires.;Non conforme – Risque critique;ISO 27001 A.9.2.6
Les certificats expirés ne sont pas révoqués.;Non conforme – Risque technique;ISO 27001 A.10.1
Les sessions administrateurs ne sont pas tracées.;Non conforme – Absence de supervision;ISO 27001 A.12.4.1
Les droits des utilisateurs ne sont pas alignés avec leurs rôles métiers.;Non conforme – Excès de privilèges;ISO 27001 A.9.1.2
Les logs SSO ne sont pas activés.;Non conforme – Absence de traçabilité;ISO 27001 A.12.4.1
Les comptes d’application ne sont pas gérés ni recertifiés.;Non conforme – Gouvernance déficiente;ISO 27001 A.9.2.3
Aucun inventaire central des comptes utilisateurs n’existe.;Non conforme – Gouvernance défaillante;ISO 27001 A.9.2.6
Les clés API sont stockées dans du code source non sécurisé.;Non conforme – Risque de fuite;NIST IA-5
Les sessions SSO ne sont jamais limitées dans le temps.;Non conforme – Risque de persistance;ISO 27001 A.9.4.2
Aucun mécanisme de verrouillage de compte après tentatives échouées.;Non conforme – Contrôle absent;ISO 27001 A.9.4.3 / NIST AC-7
Les comptes administrateurs sont utilisés comme comptes personnels.;Non conforme – Absence de séparation;ISO 27001 A.9.2.3
Les prestataires conservent des accès non tracés aux environnements critiques.;Non conforme – Gouvernance tiers défaillante;ISO 27001 A.9.2.6
Les sessions SSH ne sont pas surveillées.;Non conforme – Absence de supervision;ISO 27001 A.12.4.1
Les mots de passe sont envoyés par email sans chiffrement.;Non conforme – Failles critiques;ISO 27001 A.10.1
Les demandes d’accès ne nécessitent aucune justification.;Non conforme – Gouvernance défaillante;ISO 27001 A.9.2.1
Aucun système PAM n’est déployé pour gérer les accès privilégiés.;Non conforme – Risque critique;ISO 27001 A.9.2.3
Les comptes dormants ne déclenchent aucune alerte.;Non conforme – Absence de détection;ISO 27001 A.9.2.6
L’accès root est utilisé par plusieurs personnes sans suivi.;Non conforme – Absence de responsabilité;ISO 27001 A.9.2.3
Les utilisateurs disposent d’accès permanents à des ressources critiques.;Non conforme – Excès de privilèges;ISO 27001 A.9.1.2
Les logs d’authentification ne sont pas centralisés.;Non conforme – Gouvernance déficiente;ISO 27001 A.12.4.1
Les comptes SaaS restent actifs après départ d’un employé.;Non conforme – Gouvernance cloud défaillante;ISO 27001 A.9.2.6
Les sessions RDP ne sont pas enregistrées.;Non conforme – Absence de contrôle;ISO 27001 A.12.4.1
Les tokens OAuth sont stockés en clair.;Non conforme – Risque critique;NIST IA-5
Les droits des prestataires ne sont jamais révoqués.;Non conforme – Gouvernance tiers défaillante;ISO 27001 A.9.2.6
Aucun suivi n’existe sur les accès critiques aux bases de données.;Non conforme – Absence de contrôle;ISO 27001 A.9.1.2
Les utilisateurs disposent de droits supérieurs à leurs besoins.;Non conforme – Excès de privilèges;ISO 27001 A.9.1.2
Les comptes techniques sont utilisés sans restriction.;Non conforme – Gouvernance déficiente;ISO 27001 A.9.2.3
Aucun test de révocation n’a été réalisé dans les 12 derniers mois.;Non conforme – Gouvernance défaillante;ISO 27001 A.9.2.6
Les comptes de test restent actifs en production.;Non conforme – Risque critique;ISO 27001 A.9.2.6
Les accès aux applications SaaS ne passent pas par l’IdP.;Non conforme – Gouvernance déficiente;ISO 27001 A.9.2.6
Les logs d’accès VPN ne sont pas collectés.;Non conforme – Absence de traçabilité;ISO 27001 A.12.4.1
Aucun suivi des élévations de privilèges n’est en place.;Non conforme – Gouvernance déficiente;ISO 27001 A.9.2.3
Les utilisateurs utilisent encore des identifiants par défaut.;Non conforme – Failles critiques;ISO 27001 A.9.2.4 / NIST IA-5 f
Les comptes génériques ne sont pas surveillés.;Non conforme – Absence de supervision;ISO 27001 A.9.2.3
Les sessions web ne sont pas limitées en durée.;Non conforme – Risque de persistance;ISO 27001 A.9.4.2
Les justificatifs d’accès ne sont pas archivés.;Non conforme – Absence de traçabilité;SOX 404
Les comptes de service ne sont pas différenciés des comptes utilisateurs.;Non conforme – Mauvaise gouvernance;ISO 27001 A.9.2.3
Les accès administrateurs ne nécessitent pas de double validation.;Non conforme – Gouvernance insuffisante;ISO 27001 A.9.2.1
Aucun suivi des accès externes n’est mis en œuvre.;Non conforme – Gouvernance déficiente;ISO 27001 A.9.2.6
Les logs d’accès sont effacés après une semaine.;Non conforme – Rétention insuffisante;ISO 27001 A.12.4.1
Les certificats non utilisés restent valides indéfiniment.;Non conforme – Risque technique;ISO 27001 A.10.1
Les sessions VPN ne sont pas journalisées.;Non conforme – Absence de traçabilité;ISO 27001 A.12.4.1
Les comptes invités ne sont jamais supprimés.;Non conforme – Gouvernance déficiente;ISO 27001 A.9.2.6
Les mots de passe ne respectent aucune règle de complexité.;Non conforme – Absence de politique;ISO 27001 A.9.4.3
Les sessions administrateurs se font sans journalisation.;Non conforme – Absence de contrôle;ISO 27001 A.12.4.1
Les droits d’accès aux fichiers sensibles ne sont pas contrôlés.;Non conforme – Risque de fuite;ISO 27001 A.9.1.2
Les accès critiques ne nécessitent aucune approbation préalable.;Non conforme – Gouvernance déficiente;ISO 27001 A.9.2.1
Les comptes SaaS sont créés sans validation.;Non conforme – Gouvernance cloud défaillante;ISO 27001 A.9.2.1
Les comptes API sont partagés entre plusieurs applications.;Non conforme – Risque de compromission;NIST IA-5
Les revues des droits sont effectuées mais seulement une fois par an.;Partiellement conforme – Fréquence insuffisante;ISO 27001 A.9.2.5
Les comptes inactifs sont désactivés mais seulement après 180 jours.;Partiellement conforme – Délai trop long;ISO 27001 A.9.2.6 / NIST AC-2 h
Les accès administrateurs sont nominatifs mais sans revue régulière.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.3
La MFA est activée mais uniquement pour les accès distants.;Partiellement conforme – Couverture partielle;ISO 27001 A.9.4.2
Les clés API sont renouvelées mais seulement tous les 12 mois.;Partiellement conforme – Rotation insuffisante;NIST IA-5 f
Les boîtes partagées sont attribuées nominativement mais rarement recertifiées.;Partiellement conforme – Gouvernance limitée;ISO 27001 A.9.2.3
Les comptes prestataires sont révoqués mais parfois avec plusieurs jours de délai.;Partiellement conforme – Gouvernance tardive;ISO 27001 A.9.2.6
Les logs d’accès sont collectés mais rarement analysés.;Partiellement conforme – Traçabilité limitée;ISO 27001 A.12.4.1
Les sessions inactives expirent mais après 2 heures.;Partiellement conforme – Paramétrage trop permissif;ISO 27001 A.9.4.2
Les demandes d’accès sont validées mais sans preuve documentaire systématique.;Partiellement conforme – Validation non tracée;ISO 27001 A.9.2.1
Les comptes de service sont documentés mais utilisés par plusieurs applications.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.3
Les revues des groupes AD sont réalisées mais uniquement pour les OU critiques.;Partiellement conforme – Périmètre limité;ISO 27001 A.9.2.5
Les justificatifs d’accès sont conservés mais non horodatés.;Partiellement conforme – Gouvernance lacunaire;SOX 404
Les sessions administrateurs sont enregistrées mais sans supervision en temps réel.;Partiellement conforme – Contrôle limité;ISO 27001 A.12.4.1
Les certificats expirés sont révoqués mais parfois avec retard.;Partiellement conforme – Gouvernance imparfaite;ISO 27001 A.10.1
Les accès VPN nécessitent un mot de passe fort mais pas de MFA.;Partiellement conforme – Authentification faible;ISO 27001 A.9.4.2
Les comptes invités expirent mais après 6 mois.;Partiellement conforme – Délai trop long;ISO 27001 A.9.2.6
Les logs SSO existent mais ne couvrent pas toutes les applications.;Partiellement conforme – Traçabilité partielle;ISO 27001 A.12.4.1
Les utilisateurs doivent changer leur mot de passe mais seulement tous les 12 mois.;Partiellement conforme – Politique faible;ISO 27001 A.9.4.3
Les comptes de test sont supprimés mais parfois plusieurs semaines après usage.;Partiellement conforme – Gouvernance tardive;ISO 27001 A.9.2.6
Les revues d’accès incluent les métiers mais pas les comptes techniques.;Partiellement conforme – Périmètre incomplet;ISO 27001 A.9.2.5
Les accès aux bases de données sont limités mais pas systématiquement revus.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.1.2
Les sessions RDP administrateurs sont journalisées mais pas consultées.;Partiellement conforme – Contrôle non exploité;ISO 27001 A.12.4.1
Les tokens OAuth expirent mais avec une durée trop longue (1 an).;Partiellement conforme – Sécurité affaiblie;NIST IA-5
Les comptes SaaS sont révoqués mais parfois après plusieurs jours.;Partiellement conforme – Gouvernance tardive;ISO 27001 A.9.2.6
Les accès exceptionnels nécessitent une validation mais pas toujours documentée.;Partiellement conforme – Gouvernance partielle;ISO 27001 A.9.2.1
Les droits métiers sont révisés mais pas les droits administrateurs.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.5
Les logs d’accès sont centralisés mais non corrélés.;Partiellement conforme – Supervision limitée;ISO 27001 A.12.4.1
Les prestataires externes sont suivis mais pas systématiquement désactivés à temps.;Partiellement conforme – Gouvernance partielle;ISO 27001 A.9.2.6
Les comptes génériques sont surveillés mais restent autorisés.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.3
Les sessions SSH expirent mais après 4h.;Partiellement conforme – Paramétrage trop permissif;ISO 27001 A.9.4.2
Les justificatifs d’approbation existent mais pas pour tous les accès.;Partiellement conforme – Gouvernance lacunaire;SOX 404
Les clés SSH sont renouvelées mais seulement tous les 2 ans.;Partiellement conforme – Rotation trop faible;NIST IA-5
Les comptes orphelins sont détectés mais supprimés avec retard.;Partiellement conforme – Gouvernance tardive;ISO 27001 A.9.2.6
Les utilisateurs doivent signer une charte mais elle n’est pas mise à jour régulièrement.;Partiellement conforme – Gouvernance obsolète;ISO 27001 A.7.2.2
Les sessions web expirent mais après 2h d’inactivité.;Partiellement conforme – Paramétrage laxiste;ISO 27001 A.9.4.2
Les comptes d’application sont recensés mais sans validation hiérarchique.;Partiellement conforme – Gouvernance partielle;ISO 27001 A.9.2.3
Les droits hérités sont documentés mais rarement vérifiés.;Partiellement conforme – Gouvernance partielle;ISO 27001 A.9.2.6
Les logs VPN existent mais ne sont consultés qu’en cas d’incident.;Partiellement conforme – Supervision réactive;ISO 27001 A.12.4.1
Les certificats sont suivis mais le processus de révocation n’est pas automatisé.;Partiellement conforme – Gouvernance manuelle;ISO 27001 A.10.1
Les comptes invités expirent automatiquement mais après 90 jours.;Partiellement conforme – Délai excessif;ISO 27001 A.9.2.6
Les revues AD sont faites mais seulement sur les comptes métiers.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.5
Les justificatifs d’accès sont archivés mais non vérifiés.;Partiellement conforme – Gouvernance limitée;SOX 404
Les comptes prestataires sont révoqués mais sans contrôle documentaire.;Partiellement conforme – Gouvernance partielle;ISO 27001 A.9.2.6
Les droits des applications critiques sont revus mais sans validation indépendante.;Partiellement conforme – Gouvernance partielle;ISO 27001 A.9.2.5
Les sessions administrateurs expirent mais après 6h.;Partiellement conforme – Paramétrage trop permissif;ISO 27001 A.9.4.2
Les logs SSO sont collectés mais non corrélés aux logs applicatifs.;Partiellement conforme – Gouvernance limitée;ISO 27001 A.12.4.1
Les comptes techniques sont surveillés mais non recertifiés.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.3
Les mots de passe sont hachés mais sans sel.;Partiellement conforme – Sécurité incomplète;ISO 27001 A.10.1
Les accès cloud sont gérés par l’IdP mais certaines applis sont exclues.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.6
Les tokens OAuth sont révoqués mais avec délai.;Partiellement conforme – Gouvernance tardive;NIST IA-5
Les comptes orphelins sont désactivés mais non supprimés.;Partiellement conforme – Gouvernance partielle;ISO 27001 A.9.2.6
Les sessions RDP expirent mais après 8h.;Partiellement conforme – Paramétrage trop permissif;ISO 27001 A.9.4.2
Les accès d’urgence sont documentés mais non systématiquement supprimés après usage.;Partiellement conforme – Gouvernance limitée;ISO 27001 A.9.2.6
Les logs VPN sont collectés mais non revus régulièrement.;Partiellement conforme – Supervision limitée;ISO 27001 A.12.4.1
Les certificats sont renouvelés mais parfois après expiration.;Partiellement conforme – Gouvernance imparfaite;ISO 27001 A.10.1
Les comptes SaaS sont désactivés mais non supprimés.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.6
Les accès critiques sont validés mais sans approbation multi-niveaux.;Partiellement conforme – Gouvernance limitée;ISO 27001 A.9.2.1
Les logs d’authentification sont collectés mais sans corrélation.;Partiellement conforme – Gouvernance limitée;ISO 27001 A.12.4.1
Les droits d’accès sont revus trimestriellement avec validation managériale.;Conforme – Bonnes pratiques de revue;ISO 27001 A.9.2.5
Tous les comptes inactifs sont désactivés automatiquement après 60 jours.;Conforme – Contrôle préventif;ISO 27001 A.9.2.6 / NIST AC-2 h
La révocation des accès est immédiate lors du départ d’un collaborateur.;Conforme – Processus réactif;ISO 27001 A.9.2.6
Les comptes administrateurs sont toujours attribués de manière nominative.;Conforme – Responsabilisation;ISO 27001 A.9.2.3
La MFA est exigée pour toutes les connexions externes et VPN.;Conforme – Sécurité renforcée;ISO 27001 A.9.4.2 / NIST IA-2
Les logs d’accès sont archivés et revus mensuellement par la sécurité.;Conforme – Traçabilité;ISO 27001 A.12.4.1
Les demandes d’accès doivent être approuvées par un manager.;Conforme – Gouvernance stricte;ISO 27001 A.9.2.1
Les privilèges élevés nécessitent une double validation.;Conforme – Gouvernance renforcée;ISO 27001 A.9.2.3
Les comptes SaaS sont intégrés dans l’IdP et gérés centralement.;Conforme – Gouvernance cloud;ISO 27001 A.9.2.6
Les sessions inactives expirent automatiquement après 15 minutes.;Conforme – Sécurité de session;ISO 27001 A.9.4.2
Les droits métiers suivent le principe du moindre privilège.;Conforme – Gouvernance granulaire;ISO 27001 A.9.1.2
Les comptes génériques sont interdits par la politique de sécurité.;Conforme – Responsabilisation;ISO 27001 A.9.2.3
Les logs VPN sont collectés et intégrés dans le SIEM.;Conforme – Supervision efficace;ISO 27001 A.12.4.1
Les mots de passe sont stockés hachés et salés.;Conforme – Bonnes pratiques;ISO 27001 A.10.1 / NIST IA-5
Les accès critiques nécessitent une MFA obligatoire.;Conforme – Renforcement sécurité;ISO 27001 A.9.4.2
Les comptes techniques sont recertifiés tous les 6 mois.;Conforme – Gouvernance périodique;ISO 27001 A.9.2.5
Les demandes d’accès exceptionnelles sont tracées et archivées.;Conforme – Gouvernance stricte;SOX 404
Les sessions SSH administrateurs sont journalisées.;Conforme – Supervision renforcée;ISO 27001 A.12.4.1
L’IdP centralise l’authentification des applications métiers.;Conforme – Gouvernance IAM;ISO 27001 A.9.2.6
Les droits des prestataires sont supprimés dès la fin du contrat.;Conforme – Gouvernance rigoureuse;ISO 27001 A.9.2.6
Les utilisateurs sont notifiés à chaque modification de leurs droits.;Conforme – Transparence;ISO 27001 A.9.2.6
Chaque compte est associé à une identité unique.;Conforme – Responsabilisation;ISO 27001 A.9.2.3
Les logs critiques sont conservés au minimum 12 mois.;Conforme – Gouvernance documentaire;ISO 27001 A.12.4.1
Les accès aux applications critiques sont revus semestriellement.;Conforme – Gouvernance périodique;ISO 27001 A.9.2.5
Les certificats expirés sont révoqués automatiquement.;Conforme – Gouvernance technique;ISO 27001 A.10.1
Les groupes AD sensibles sont validés tous les mois.;Conforme – Gouvernance renforcée;ISO 27001 A.9.2.5
L’accès root est réservé à des procédures exceptionnelles.;Conforme – Gouvernance critique;ISO 27001 A.9.2.3
Les mots de passe doivent contenir 12 caractères minimum.;Conforme – Politique forte;ISO 27001 A.9.4.3
Les logs SSO sont revus par l’équipe sécurité chaque semaine.;Conforme – Traçabilité renforcée;ISO 27001 A.12.4.1
L’accès VPN requiert une authentification multifactorielle.;Conforme – Sécurité renforcée;NIST AC-17
Les comptes inactifs déclenchent une alerte automatique.;Conforme – Détection proactive;ISO 27001 A.9.2.6
Les sessions RDP administrateurs sont limitées à 2 heures.;Conforme – Gouvernance technique;ISO 27001 A.9.4.2
Les comptes invités expirent automatiquement après 30 jours.;Conforme – Gouvernance stricte;ISO 27001 A.9.2.6
Les clés SSH sont renouvelées tous les 6 mois.;Conforme – Gouvernance technique;NIST IA-5
Les logs d’authentification sont corrélés avec d’autres événements.;Conforme – Supervision efficace;ISO 27001 A.12.4.1
Les accès aux bases de données sont limités aux DBA autorisés.;Conforme – Gouvernance stricte;ISO 27001 A.9.1.2
Les preuves d’approbation sont archivées pour 7 ans.;Conforme – Gouvernance réglementaire;SOX 404
Chaque élévation de privilège est validée par un comité de sécurité.;Conforme – Gouvernance stricte;ISO 27001 A.9.2.1
Les utilisateurs doivent signer une charte de sécurité annuelle.;Conforme – Gouvernance organisationnelle;ISO 27001 A.7.2.2
Les comptes de test sont supprimés après chaque projet.;Conforme – Hygiène IT;ISO 27001 A.9.2.6
L’accès aux salles serveurs est protégé par badge nominatif.;Conforme – Contrôle physique;ISO 27001 A.11.1.1
L’IdP impose une authentification unique pour toutes les applications.;Conforme – Gouvernance IAM;ISO 27001 A.9.2.6
Les tokens OAuth expirent automatiquement après 60 minutes.;Conforme – Gouvernance technique;NIST IA-5
Les privilèges sont systématiquement alignés avec le rôle métier.;Conforme – Gouvernance granulaire;ISO 27001 A.9.1.2
Les sessions web expirent automatiquement après 15 minutes.;Conforme – Gouvernance stricte;ISO 27001 A.9.4.2
Les comptes administrateurs nécessitent une approbation hiérarchique.;Conforme – Gouvernance renforcée;ISO 27001 A.9.2.1
Chaque accès temporaire est supprimé après utilisation.;Conforme – Gouvernance stricte;ISO 27001 A.9.2.6
Les logs VPN sont revus hebdomadairement par l’équipe sécurité.;Conforme – Gouvernance renforcée;ISO 27001 A.12.4.1
Les droits d’accès sont recalibrés après chaque mobilité interne.;Conforme – Gouvernance RH;ISO 27001 A.9.2.6
Les prestataires doivent signer une clause de confidentialité.;Conforme – Gouvernance contractuelle;ISO 27001 A.15.1.2
Les accès critiques nécessitent une authentification biométrique.;Conforme – Gouvernance technique;ISO 27001 A.9.4.2
Les utilisateurs sont formés chaque année à la gestion des accès.;Conforme – Sensibilisation;ISO 27001 A.7.2.2
Les journaux d’administration sont protégés contre toute modification.;Conforme – Gouvernance technique;ISO 27001 A.12.4.1
Les accès cloud sont gérés uniquement par l’IdP officiel.;Conforme – Gouvernance cloud;ISO 27001 A.9.2.6
Chaque demande d’accès est associée à un ticket d’approbation.;Conforme – Gouvernance stricte;ISO 27001 A.9.2.1
Les sessions administrateurs sont limitées à 1 heure.;Conforme – Gouvernance technique;ISO 27001 A.9.4.2
L’accès aux fichiers sensibles est limité aux utilisateurs autorisés.;Conforme – Gouvernance documentaire;ISO 27001 A.9.1.2
Chaque suppression d’accès est validée par l’équipe sécurité.;Conforme – Gouvernance stricte;ISO 27001 A.9.2.6
Les clés API expirent automatiquement tous les 90 jours.;Conforme – Gouvernance technique;NIST IA-5
Les justificatifs d’approbation sont disponibles pour chaque audit.;Conforme – Gouvernance documentaire;SOX 404
Les logs SSO sont stockés dans un environnement sécurisé.;Conforme – Gouvernance technique;ISO 27001 A.12.4.1
Les comptes administrateurs sont protégés par un PAM.;Conforme – Gouvernance des privilèges;ISO 27001 A.9.2.3
Les sessions RDP expirent automatiquement après 1h d’inactivité.;Conforme – Gouvernance technique;ISO 27001 A.9.4.2
Les comptes utilisateurs sont créés uniquement via le workflow RH.;Conforme – Gouvernance automatisée;ISO 27001 A.9.2.1
Les privilèges élevés sont surveillés en temps réel.;Conforme – Supervision renforcée;ISO 27001 A.12.4.1
Les certificats TLS sont renouvelés automatiquement avant expiration.;Conforme – Gouvernance technique;ISO 27001 A.10.1
Les sessions administrateurs nécessitent MFA + approbation.;Conforme – Gouvernance renforcée;ISO 27001 A.9.4.2
Les accès exceptionnels sont documentés dans un registre.;Conforme – Gouvernance stricte;ISO 27001 A.9.2.6
Les logs de sécurité sont revus quotidiennement.;Conforme – Gouvernance renforcée;ISO 27001 A.12.4.1
Les comptes d’application sont surveillés par l’équipe sécurité.;Conforme – Gouvernance stricte;ISO 27001 A.9.2.3
Les revues des droits sont effectuées mais seulement une fois par an.;Partiellement conforme – Fréquence insuffisante;ISO 27001 A.9.2.5
Les comptes inactifs sont désactivés mais après 180 jours.;Partiellement conforme – Délai trop long;ISO 27001 A.9.2.6 / NIST AC-2 h
Les accès administrateurs sont attribués nominativement mais non recertifiés.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.3
La MFA est activée mais uniquement pour certains services.;Partiellement conforme – Couverture partielle;ISO 27001 A.9.4.2
Les logs d’accès sont collectés mais rarement consultés.;Partiellement conforme – Traçabilité limitée;ISO 27001 A.12.4.1
Les sessions inactives expirent mais après 2 heures.;Partiellement conforme – Paramétrage trop permissif;ISO 27001 A.9.4.2
Les demandes d’accès sont validées mais sans preuve documentaire.;Partiellement conforme – Validation non tracée;ISO 27001 A.9.2.1
Les comptes de service sont recensés mais partagés entre plusieurs applis.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.3
Les revues AD couvrent les métiers mais pas les comptes techniques.;Partiellement conforme – Périmètre limité;ISO 27001 A.9.2.5
Les justificatifs d’accès existent mais ne sont pas horodatés.;Partiellement conforme – Gouvernance lacunaire;SOX 404
Les certificats expirés sont révoqués mais parfois en retard.;Partiellement conforme – Gouvernance imparfaite;ISO 27001 A.10.1
Les comptes invités expirent automatiquement mais après 90 jours.;Partiellement conforme – Délai trop long;ISO 27001 A.9.2.6
Les droits métiers sont revus mais pas les privilèges élevés.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.5
Les sessions administrateurs sont journalisées mais non exploitées.;Partiellement conforme – Contrôle non suivi;ISO 27001 A.12.4.1
Les tokens OAuth expirent mais après 1 an.;Partiellement conforme – Durée trop longue;NIST IA-5
Les comptes prestataires sont désactivés mais parfois plusieurs jours après départ.;Partiellement conforme – Gouvernance tardive;ISO 27001 A.9.2.6
Les logs VPN existent mais sont vérifiés uniquement en cas d’incident.;Partiellement conforme – Supervision réactive;ISO 27001 A.12.4.1
Les accès d’urgence sont supprimés mais pas systématiquement.;Partiellement conforme – Gouvernance partielle;ISO 27001 A.9.2.6
Les clés SSH sont renouvelées mais seulement tous les 2 ans.;Partiellement conforme – Rotation trop faible;NIST IA-5
Les sessions RDP expirent mais après 6h.;Partiellement conforme – Paramétrage laxiste;ISO 27001 A.9.4.2
Les comptes orphelins sont supprimés mais avec retard.;Partiellement conforme – Gouvernance tardive;ISO 27001 A.9.2.6
Les logs SSO couvrent seulement certaines applications.;Partiellement conforme – Traçabilité incomplète;ISO 27001 A.12.4.1
Les utilisateurs doivent changer leur mot de passe mais seulement tous les 12 mois.;Partiellement conforme – Politique faible;ISO 27001 A.9.4.3
Les comptes de test sont supprimés mais parfois plusieurs semaines après.;Partiellement conforme – Gouvernance tardive;ISO 27001 A.9.2.6
Les privilèges élevés nécessitent une approbation mais pas toujours multiple.;Partiellement conforme – Gouvernance limitée;ISO 27001 A.9.2.1
Les logs d’authentification sont centralisés mais pas corrélés.;Partiellement conforme – Gouvernance limitée;ISO 27001 A.12.4.1
Les sessions web expirent mais après 2h.;Partiellement conforme – Paramétrage permissif;ISO 27001 A.9.4.2
Les comptes SaaS sont désactivés mais pas toujours supprimés.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.6
Les preuves d’accès sont archivées mais non vérifiées.;Partiellement conforme – Gouvernance lacunaire;SOX 404
Les droits hérités sont documentés mais rarement validés.;Partiellement conforme – Gouvernance partielle;ISO 27001 A.9.2.6
Les sessions SSH expirent mais après 4h.;Partiellement conforme – Paramétrage trop long;ISO 27001 A.9.4.2
Les comptes techniques sont surveillés mais pas recertifiés.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.3
Les justificatifs d’approbation existent mais pas pour tous les accès.;Partiellement conforme – Gouvernance lacunaire;SOX 404
Les certificats TLS sont renouvelés mais parfois après expiration.;Partiellement conforme – Gouvernance imparfaite;ISO 27001 A.10.1
Les logs VPN sont collectés mais non revus régulièrement.;Partiellement conforme – Supervision limitée;ISO 27001 A.12.4.1
Les comptes génériques sont surveillés mais restent autorisés.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.3
Les comptes prestataires sont révoqués mais sans preuve documentaire.;Partiellement conforme – Gouvernance lacunaire;ISO 27001 A.9.2.6
Les sessions administrateurs expirent mais après 8h.;Partiellement conforme – Paramétrage laxiste;ISO 27001 A
Chaque création de compte est validée par deux niveaux hiérarchiques.;Conforme – Double approbation en place;ISO 27001 A.9.2.1 / SOX 404
Les droits des administrateurs sont revus mensuellement.;Conforme – Gouvernance renforcée;ISO 27001 A.9.2.5
Un registre central consigne toutes les demandes d’accès.;Conforme – Traçabilité complète;ISO 27001 A.9.2.6
